quarter,g,gc,gi,t,y,,,,,,,,
2000Q1,2599.591332,2132.777786,457.2386008,3495.209079,11757.29549,,,,,,,,
2000Q2,2533.392856,2167.88451,311.1187951,2360.640512,11869.13968,,,,,,,,
2000Q3,2772.887118,2196.6764,582.297052,2270.486268,11972.16434,,,,,,,,
2000Q4,2647.637141,2176.348065,498.8958693,2679.000747,12099.47013,,,,,,,,
2001Q1,2478.232861,1999.551329,483.2719431,2746.157857,12152.30338,,,,,,,,
2001Q2,2682.238521,2024.56662,626.2222604,2847.090332,12261.32485,,,,,,,,
2001Q3,2515.922198,1959.004747,559.2730411,2547.645,12464.49664,,,,,,,,
2001Q4,2142.738995,1854.770402,329.9446556,2029.52559,12599.76801,,,,,,,,
2002Q1,2712.891206,2247.300098,440.5518985,1744.742399,12822.0748,,,,,,,,
2002Q2,2755.639408,2242.830545,475.296074,2555.48183,13005.40075,,,,,,,,
2002Q3,2691.737495,2288.414373,395.8362064,2246.486715,13223.15273,,,,,,,,
2002Q4,2775.306031,2364.895938,460.6353464,2210.321408,13358.99315,,,,,,,,
2003Q1,2884.508868,2409.845037,433.7123913,2289.164873,13543.42931,,,,,,,,
2003Q2,2800.664581,2397.718282,358.9263925,2561.575308,13620.176,,,,,,,,
2003Q3,2974.901861,2486.015367,473.5661853,2719.882353,13753.59279,,,,,,,,
2003Q4,3082.089289,2676.427646,473.1012803,2990.502864,14193.62547,,,,,,,,
2004Q1,2597.958666,2116.534881,475.5889604,2840.855955,14228.53221,,,,,,,,
2004Q2,3033.94881,2573.6788,418.9764606,2567.378365,14511.18213,,,,,,,,
2004Q3,3212.693198,2745.670585,431.6944312,2938.117888,14852.02032,,,,,,,,
2004Q4,3370.598176,2919.132166,531.1771529,4418.663013,15029.08983,,,,,,,,
2005Q1,3345.601564,2786.902259,510.3579711,3202.851707,15422.57123,,,,,,,,
2005Q2,3543.255844,2873.659397,638.8107748,2905.848513,15587.4275,,,,,,,,
2005Q3,3438.096833,2810.925906,598.6439811,3137.875754,15763.98888,,,,,,,,
2005Q4,2957.550506,2602.087563,442.0896244,3384.433711,16058.07876,,,,,,,,
2006Q1,3330.706523,2770.346349,496.4158824,3134.81819,16303.43635,,,,,,,,
2006Q2,3239.104044,2609.329866,603.8807172,3475.305673,16584.63838,,,,,,,,
2006Q3,3318.426123,2614.242805,687.059383,3471.841843,16921.77174,,,,,,,,
