Q,QUARTER,COUNTRY,GDP_DEFLATOR,GDP_REAL,TAX,GOVT_CONS,PRIVATE_CONS,INV,SHORT_TERM_INTEREST_RATE
1961.25,1961Q1,CANADA,17.7,10168,,1646,6385,2308,3.6967
1961.5,1961Q2,CANADA,18.2,10392,,1671,6512,2349,3.53
1961.75,1961Q3,CANADA,18.6,10670,,1752,6676,2257,3.1367
1962,1962Q4,CANADA,18.9,9881,,1595,6115,2266,3.1067
1962.25,1962Q1,CANADA,19.4,10158,,1625,6273,2329,3.4022
1962.5,1962Q2,CANADA,19.5,10273,,1686,6348,2252,3.697
1962.75,1962Q3,CANADA,19.8,10487,,1680,6359,2529,5.6135
1963,1963Q4,CANADA,20.2,10733,,1724,6523,2430,4.5522
1963.25,1963Q1,CANADA,20.3,10834,,1760,6590,2447,4.1885
1963.5,1963Q2,CANADA,20.6,11055,,1780,6759,2440,3.6723
1963.75,1963Q3,CANADA,20.8,11237,,1834,6839,2587,4.0345
1964,1964Q4,CANADA,21.4,11694,,1875,6996,2716,4.1475
1964.25,1964Q1,CANADA,22,11966,,1953,7135,2884,4.144
1964.5,1964Q2,CANADA,22,12163,,1955,7188,2863,4.0627
1964.75,1964Q3,CANADA,22.3,12426,,1976,7365,2922,4.1875
1965,1965Q4,CANADA,22.4,12596,,2060,7493,2977,4.4433
1965.25,1965Q1,CANADA,23.1,13037,,2096,7573,3452,4.3922
1965.5,1965Q2,CANADA,23.3,13355,,2143,7826,3460,4.6603
1965.75,1965Q3,CANADA,23.6,13675,,2219,7992,3512,5.0987
1966,1966Q4,CANADA,24.2,14166,,2282,8234,3724,5.65
1966.25,1966Q1,CANADA,24.7,14643,,2401,8389,3925,6.0392
1966.5,1966Q2,CANADA,25.2,15135,,2508,8533,4248,6.1455
1966.75,1966Q3,CANADA,25.2,15333,,2619,8755,4031,6.3555
1967,1967Q4,CANADA,25.5,15626,,2737,8871,4053,6.485
1967.25,1967Q1,CANADA,25.4,15815,,2788,9008,3985,6.0145
1967.5,1967Q2,CANADA,26,16327,,2961,9295,3967,5.1595
1967.75,1967Q3,CANADA,26.1,16474,,3023,9395,3963,5.6808
1968,1968Q4,CANADA,26.2,16759,,3092,9670,3847,6.5338
1968.25,1968Q1,CANADA,26.4,17138,,3165,9899,3995,6.8385
1968.5,1968Q2,CANADA,27.1,17673,,3265,10035,4103,7.3117
1968.75,1968Q3,CANADA,27.5,18078,,3445,10316,4140,6.6852
1969,1969Q4,CANADA,27.9,18537,,3599,10565,4330,6.4385
1969.25,1969Q1,CANADA,28.2,19063,,3624,10873,4518,6.8985
1969.5,1969Q2,CANADA,28.4,19446,,3738,10995,4693,7.2647
1969.75,1969Q3,CANADA,28.7,19824,,3891,11213,4728,8.289
1970,1970Q4,CANADA,29.1,22352,,4415,12619,5344,8.7275
1970.25,1970Q1,CANADA,29.3,22865,,4670,12645,5146,8.6258
1970.5,1970Q2,CANADA,29.3,23071,,4910,12809,4998,7.6402
1970.75,1970Q3,CANADA,29.6,23549,,4898,13085,5291,7.3705
1971,1971Q4,CANADA,29.6,23751,,5031,13263,4953,6.179
1971.25,1971Q1,CANADA,29.5,24097,,5010,13289,5392,5.1132
1971.5,1971Q2,CANADA,30.3,25105,,5356,13918,5619,3.8525
1971.75,1971Q3,CANADA,31.2,25934,,5445,14363,5965,4.5928
1972,1972Q4,CANADA,31.5,26632,,5635,14833,6255,4.7187
1972.25,1972Q1,CANADA,31.4,27064,,5644,15051,6307,4.6053
1972.5,1972Q2,CANADA,32.3,28091,,5798,15577,6532,5.7618
1972.75,1972Q3,CANADA,32.4,28623,,6064,15970,6603,4.947
1973,1973Q4,CANADA,33.1,29846,,6359,16525,6533,5.078
1973.25,1973Q1,CANADA,34,31215,,6471,17205,7047,5.052
1973.5,1973Q2,CANADA,34.4,32538,,6578,17698,7620,6.3392
1973.75,1973Q3,CANADA,34.5,33663,,6794,18266,8332,8.2725
1974,1974Q4,CANADA,35.1,35664,,7267,18977,9060,9.5417
1974.25,1974Q1,CANADA,35.4,37356,,7505,19964,9449,9.0402
1974.5,1974Q2,CANADA,35.8,39022,,7940,20738,10041,11.1915
1974.75,1974Q3,CANADA,35.8,40596,,8557,21458,10417,11.6643
1975,1975Q4,CANADA,35.6,41332,,8927,21930,10786,10.3215
1975.25,1975Q1,CANADA,35.4,41893,,9188,22954,10622,7.3803
1975.5,1975Q2,CANADA,35.8,43437,,9824,23691,10625,7.2955
1975.75,1975Q3,CANADA,36.5,45582,,10417,24781,11087,8.2597
1976,1976Q4,CANADA,36.9,47133,,10424,25766,11730,9.1595
1976.25,1976Q1,CANADA,37.6,49072,,10665,26264,12631,9.2512
1976.5,1976Q2,CANADA,38.4,51567,,11472,27387,13010,9.5183
1976.75,1976Q3,CANADA,38.5,52116,,11177,27943,13033,9.3833
1977,1977Q4,CANADA,38.6,48411,,10946,26295,11507,8.9533
1977.25,1977Q1,CANADA,39.2,49975,,11218,26888,12198,7.9108
1977.5,1977Q2,CANADA,39.4,51085,,11646,27378,12451,7.354
1977.75,1977Q3,CANADA,39.6,52205,,11709,28452,12542,7.3367
1978,1978Q4,CANADA,40.2,53625,,11943,29215,12667,7.3702
1978.25,1978Q1,CANADA,40.6,54840,,12145,30045,12381,7.335
1978.5,1978Q2,CANADA,40.8,56511,,12420,30780,13161,8.2957
1978.75,1978Q3,CANADA,41.2,57995,,12702,31668,13568,8.8865
1979,1979Q4,CANADA,41.6,54803,,11962,29821,13142,10.3378
1979.25,1979Q1,CANADA,41.9,56532,,12274,30823,13626,11.0283
1979.5,1979Q2,CANADA,42.5,59191,,12633,31608,14964,11.2387
1979.75,1979Q3,CANADA,42.8,61021,,12852,32349,15187,11.6842
1980,1980Q4,CANADA,43.1,62901,,13170,33184,16079,13.8942
1980.25,1980Q1,CANADA,43.4,64533,,13613,34176,15407,14.2242
1980.5,1980Q2,CANADA,43.4,66085,,14154,34953,16265,13.5808
1980.75,1980Q3,CANADA,43.3,67650,,14717,36515,15176,10.785
1981,1981Q4,CANADA,43.9,70688,,15046,37888,16770,13.9258
1981.25,1981Q1,CANADA,44.9,74165,,15548,39200,19113,17.15
1981.5,1981Q2,CANADA,45.4,76665,,16063,40085,20698,18.4817
1981.75,1981Q3,CANADA,45,77671,,16888,40869,19588,20.7375
