year,at_i_3m_a,at_i_10y_a
1964,4.0942,6.191675
1965,5.13415,6.495
1966,6.6267,6.8375
1967,4.2675,7.135
1968,4.925,7.605
1969,5.975,7.445
1970,6.825,7.675
1971,5.775,7.5675
1972,6.325,7.3
1973,7.8,7.9575
1974,8.75,9.305
1975,7.125,9.59
1976,5.975,8.77
1977,8.225,8.7075
1978,7.55,8.195
1979,6.9,7.925
1980,10.6,9.195
1981,11.45,10.5625
1982,8.525,9.9075
1983,5.9,8.12
1984,7.1,7.9625
1985,6.6,7.695
1986,5.775,7.438325
1987,4.8,7.008325
1988,4.95,6.86
1989,7.625,7.152475
1990,8.9,8.7575
1991,9.4,8.55915
1992,9.45,8.174974
1993,7,6.7475
1994,5.1,7.0475
1995,4.55,7.1425
1996,3.375,6.3175
1997,3.475,5.6675
1998,3.575,4.715
1999,2.95,4.625
2000,4.390583,5.5525
2001,4.263333,5.095
2002,3.318667,5.334375
2003,2.334417,4.116667
2004,2.106417,4.1355
2005,2.18475,3.39525
2006,3.079,3.80875
2007,4.276417,4.2845
2008,4.63325,4.36225
2009,1.23025,3.941917
2010,.8110833,3.227
2011,1.390917,3.323333
2012,.5733333,2.359
2013,.204,1.9
